日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-04-22,优,44,78,8,25,17,3,0.35,北京
2025-04-23,良,54,125,15,57,20,3,0.33,北京
2025-04-24,优,46,96,7,31,7,3,0.28,北京
2025-04-25,良,54,140,21,59,26,4,0.46,北京
2025-04-26,良,82,261,56,115,36,7,0.68,北京
2025-04-27,良,57,188,9,25,12,3,0.31,北京
2025-04-28,良,56,187,21,63,26,5,0.43,北京
2025-04-29,良,59,95,27,68,31,7,0.56,北京
2025-04-30,优,48,59,13,43,25,3,0.38,北京
2025-05-01,优,46,77,10,29,9,3,0.31,北京
2025-05-02,优,42,39,14,35,17,4,0.56,北京
2025-05-03,优,42,39,8,20,8,3,0.26,北京
2025-05-04,良,54,128,19,47,15,3,0.35,北京
2025-05-05,良,52,142,32,52,13,3,0.49,北京
2025-05-06,优,46,87,12,25,11,3,0.34,北京
2025-05-07,良,68,176,41,86,17,4,0.53,北京
2025-05-08,良,89,303,66,125,24,5,0.71,北京
2025-05-09,优,49,119,16,30,9,3,0.55,北京
2025-05-10,优,48,96,26,40,14,3,0.34,北京
2025-05-11,良,67,215,36,58,28,3,0.44,北京
2025-05-12,良,99,314,47,83,33,5,0.62,北京
2025-05-13,轻度污染,140,328,53,91,23,4,0.65,北京
2025-05-14,良,57,62,12,27,11,2,0.36,北京
2025-05-15,良,67,200,24,47,14,3,0.50,北京
2025-05-16,轻度污染,102,294,42,80,24,5,0.64,北京
2025-05-17,良,58,173,13,56,8,2,0.24,北京
2025-05-18,优,45,118,19,43,24,3,0.35,北京
2025-05-19,良,81,225,26,57,25,3,0.50,北京
2025-05-20,轻度污染,144,325,59,126,28,6,1.00,北京
2025-05-21,轻度污染,115,307,49,99,16,4,0.94,北京
2025-05-22,良,60,170,40,70,19,3,0.57,北京
2025-05-23,优,46,120,32,40,16,2,0.47,北京
2025-05-24,优,43,69,19,34,21,2,0.40,北京
2025-05-25,良,73,195,28,56,24,5,0.54,北京
2025-05-26,良,94,264,31,57,27,4,0.62,北京
2025-05-27,良,94,237,20,43,24,3,0.45,北京
2025-05-28,轻度污染,110,265,31,60,22,4,0.53,北京
2025-05-29,轻度污染,129,301,42,77,21,5,0.73,北京
2025-05-30,轻度污染,117,272,42,85,24,4,0.62,北京
2025-05-31,良,70,206,51,82,27,4,0.75,北京
2025-06-01,良,87,282,45,61,16,4,0.78,北京
2025-06-02,良,58,215,13,19,12,2,0.39,北京
2025-06-03,优,43,100,2,10,14,2,0.24,北京
2025-06-04,优,47,96,7,22,21,3,0.27,北京
2025-06-05,轻度污染,113,295,19,55,24,4,0.40,北京
2025-06-06,良,92,245,14,34,16,3,0.32,北京
2025-06-07,良,63,193,10,25,11,3,0.25,北京
2025-06-08,轻度污染,103,292,21,50,17,4,0.42,北京
2025-06-09,轻度污染,106,295,21,47,17,4,0.47,北京
2025-06-10,优,46,142,13,28,18,3,0.33,北京
2025-06-11,良,96,264,22,57,23,4,0.38,北京
2025-06-12,轻度污染,134,312,33,90,19,5,0.54,北京
2025-06-13,轻度污染,131,314,27,71,17,6,0.63,北京
2025-06-14,良,82,275,34,55,14,3,0.63,北京
2025-06-15,优,48,93,4,7,9,2,0.31,北京
2025-06-16,优,41,71,7,13,12,2,0.33,北京
2025-06-17,良,80,222,21,38,20,3,0.44,北京
2025-06-18,轻度污染,149,328,36,70,19,7,0.88,北京
2025-06-19,轻度污染,110,329,22,36,12,2,0.53,北京
