日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-04-14,优,38,7,17,21,19,7,0.66,沈阳
2025-04-15,良,52,54,37,50,35,9,0.86,沈阳
2025-04-16,良,58,72,41,65,35,13,1.13,沈阳
2025-04-17,良,74,158,48,78,43,14,0.98,沈阳
2025-04-18,优,47,40,26,37,24,8,0.53,沈阳
2025-04-19,优,39,32,27,39,31,9,0.86,沈阳
2025-04-20,优,50,95,26,44,28,14,0.98,沈阳
2025-04-21,良,54,135,33,57,33,17,0.92,沈阳
2025-04-22,优,48,110,14,23,19,7,0.51,沈阳
2025-04-23,良,52,113,24,54,28,13,0.83,沈阳
2025-04-24,良,66,239,27,81,14,7,0.50,沈阳
2025-04-25,良,51,119,25,52,19,9,0.52,沈阳
2025-04-26,良,58,147,36,67,35,14,0.75,沈阳
2025-04-27,良,62,219,20,49,13,9,0.50,沈阳
2025-04-28,良,54,166,31,57,17,8,0.55,沈阳
2025-04-29,良,68,149,38,83,26,18,0.88,沈阳
2025-04-30,良,70,158,38,77,24,12,0.86,沈阳
2025-05-01,优,46,75,12,24,16,8,0.58,沈阳
2025-05-02,优,36,9,20,36,25,12,0.85,沈阳
2025-05-03,优,42,44,14,41,17,8,0.51,沈阳
2025-05-04,优,48,94,18,48,23,9,0.49,沈阳
2025-05-05,优,45,81,24,45,32,13,0.89,沈阳
2025-05-06,优,45,77,22,35,28,9,0.65,沈阳
2025-05-07,良,55,112,35,56,26,13,0.86,沈阳
2025-05-08,良,61,175,21,53,13,11,0.56,沈阳
2025-05-09,良,56,197,30,62,21,11,0.59,沈阳
2025-05-10,良,52,134,23,48,18,6,0.50,沈阳
2025-05-11,良,62,154,43,73,35,13,0.91,沈阳
2025-05-12,良,98,310,40,70,19,11,0.75,沈阳
2025-05-13,轻度污染,103,278,32,77,14,9,0.63,沈阳
2025-05-14,良,74,185,36,59,18,7,0.63,沈阳
2025-05-15,优,50,81,33,51,17,7,0.60,沈阳
2025-05-16,良,66,185,19,47,18,11,0.65,沈阳
2025-05-17,优,50,137,18,32,13,6,0.48,沈阳
2025-05-18,优,42,97,17,32,17,9,0.50,沈阳
2025-05-19,良,70,192,25,45,17,10,0.68,沈阳
2025-05-20,良,63,179,32,54,24,9,0.85,沈阳
2025-05-21,良,52,162,33,53,25,6,0.59,沈阳
2025-05-22,良,66,196,48,74,29,7,0.72,沈阳
2025-05-23,良,51,158,19,36,21,7,0.55,沈阳
2025-05-24,良,57,153,32,64,27,14,0.82,沈阳
2025-05-25,优,49,84,23,43,33,7,0.65,沈阳
2025-05-26,良,71,160,32,63,38,18,0.92,沈阳
2025-05-27,轻度污染,109,283,31,54,24,13,0.87,沈阳
2025-05-28,轻度污染,115,273,32,54,27,13,0.85,沈阳
2025-05-29,轻度污染,114,267,32,52,24,16,0.81,沈阳
2025-05-30,轻度污染,129,306,35,63,27,14,0.92,沈阳
2025-05-31,轻度污染,124,321,35,63,28,18,0.93,沈阳
2025-06-01,良,53,157,16,39,29,7,0.58,沈阳
2025-06-02,良,72,258,28,62,35,15,0.93,沈阳
2025-06-03,优,40,79,15,35,19,10,0.67,沈阳
2025-06-04,优,46,82,7,19,18,7,0.44,沈阳
2025-06-05,良,78,200,16,51,26,12,0.71,沈阳
2025-06-06,良,83,223,20,40,27,8,0.71,沈阳
2025-06-07,良,52,154,8,18,20,6,0.43,沈阳
2025-06-08,良,72,236,16,39,33,18,0.80,沈阳
2025-06-09,良,89,267,21,42,29,15,0.81,沈阳
2025-06-10,优,31,30,10,20,24,6,0.53,沈阳
2025-06-11,优,46,118,15,29,32,8,0.62,沈阳
2025-06-12,良,68,175,13,35,30,11,0.86,沈阳
2025-06-13,良,78,208,10,29,17,11,0.59,沈阳
2025-06-14,良,64,209,21,37,18,9,0.74,沈阳
2025-06-15,良,57,125,7,15,17,5,0.70,沈阳
2025-06-16,良,53,137,8,19,15,7,0.75,沈阳
2025-06-17,良,75,198,18,34,22,10,0.90,沈阳
2025-06-18,良,72,221,18,36,23,12,0.90,沈阳
2025-06-19,良,62,242,20,39,24,9,0.88,沈阳
2025-06-20,优,38,149,13,24,17,4,0.59,沈阳
2025-06-21,优,44,156,8,18,27,8,0.54,沈阳
2025-06-22,良,60,202,15,31,27,11,0.92,沈阳
2025-06-23,良,88,253,22,43,37,16,0.99,沈阳
2025-06-24,轻度污染,109,287,25,47,37,13,1.03,沈阳
2025-06-25,轻度污染,107,291,28,54,46,9,0.92,沈阳
2025-06-26,良,97,293,22,43,25,8,0.98,沈阳
2025-06-27,优,46,128,26,41,28,6,1.11,沈阳
2025-06-28,优,33,93,16,25,18,5,0.98,沈阳
2025-06-29,良,59,222,20,30,12,6,0.87,沈阳
2025-06-30,优,35,105,7,16,14,4,0.80,沈阳
2025-07-01,优,36,119,12,19,12,4,0.80,沈阳
2025-07-02,优,44,167,17,24,11,4,0.90,沈阳
