日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-04-13,良,54,65,17,59,9,3,0.30,石家庄
2025-04-14,良,57,104,15,40,8,2,0.28,石家庄
2025-04-15,良,57,81,20,64,29,5,0.41,石家庄
2025-04-16,轻度污染,114,283,52,177,24,5,0.40,石家庄
2025-04-17,轻度污染,139,303,77,228,27,5,0.68,石家庄
2025-04-18,良,70,164,39,90,14,3,0.39,石家庄
2025-04-19,良,52,173,33,54,15,3,0.36,石家庄
2025-04-20,良,85,274,63,97,23,3,0.46,石家庄
2025-04-21,良,70,247,51,87,25,2,0.49,石家庄
2025-04-22,良,56,188,28,62,17,2,0.32,石家庄
2025-04-23,良,74,240,31,99,24,4,0.39,石家庄
2025-04-24,良,54,164,16,57,12,3,0.31,石家庄
2025-04-25,良,72,284,39,93,27,6,0.50,石家庄
2025-04-26,良,87,280,58,120,31,6,0.65,石家庄
2025-04-27,良,85,295,41,120,16,3,0.35,石家庄
2025-04-28,良,56,189,18,63,23,5,0.35,石家庄
2025-04-29,良,63,123,19,70,24,6,0.47,石家庄
2025-04-30,良,79,197,33,108,28,4,0.42,石家庄
2025-05-01,良,54,155,19,57,16,3,0.31,石家庄
2025-05-02,良,75,207,34,91,17,5,0.45,石家庄
2025-05-03,良,55,119,13,44,8,2,0.25,石家庄
2025-05-04,良,62,150,25,66,18,5,0.43,石家庄
2025-05-05,良,90,266,46,131,12,3,0.41,石家庄
2025-05-06,良,58,168,25,59,8,2,0.23,石家庄
2025-05-07,良,68,180,38,87,22,4,0.45,石家庄
2025-05-08,良,88,301,55,126,26,3,0.59,石家庄
2025-05-09,优,40,37,21,37,7,2,0.27,石家庄
2025-05-10,良,52,151,23,36,9,2,0.30,石家庄
2025-05-11,良,66,203,20,49,20,5,0.41,石家庄
2025-05-12,良,85,231,24,68,23,5,0.49,石家庄
2025-05-13,良,95,244,42,101,23,5,0.54,石家庄
2025-05-14,良,73,175,29,59,9,2,0.28,石家庄
2025-05-15,良,73,244,24,52,12,4,0.37,石家庄
2025-05-16,良,97,283,33,80,19,4,0.49,石家庄
2025-05-17,轻度污染,115,290,46,180,6,2,0.23,石家庄
2025-05-18,良,72,220,29,76,17,6,0.52,石家庄
2025-05-19,轻度污染,117,318,42,116,21,4,0.53,石家庄
2025-05-20,轻度污染,150,326,51,127,19,4,0.64,石家庄
2025-05-21,良,97,281,52,106,11,3,0.63,石家庄
2025-05-22,良,70,220,49,75,13,3,0.45,石家庄
2025-05-23,良,65,250,47,60,11,2,0.43,石家庄
2025-05-24,良,56,146,24,42,11,3,0.41,石家庄
2025-05-25,良,77,221,26,53,21,7,0.50,石家庄
2025-05-26,良,91,248,35,65,21,4,0.46,石家庄
2025-05-27,轻度污染,120,313,40,74,22,7,0.58,石家庄
2025-05-28,轻度污染,119,287,37,71,18,5,0.50,石家庄
2025-05-29,轻度污染,136,318,37,77,18,5,0.50,石家庄
2025-05-30,轻度污染,118,276,36,80,15,5,0.45,石家庄
2025-05-31,良,79,224,41,77,16,3,0.50,石家庄
2025-06-01,良,96,303,62,88,10,3,0.70,石家庄
2025-06-02,良,81,279,44,73,9,3,0.49,石家庄
2025-06-03,良,62,213,11,39,17,4,0.33,石家庄
2025-06-04,良,68,204,13,39,20,4,0.33,石家庄
2025-06-05,轻度污染,123,314,21,68,22,8,0.48,石家庄
2025-06-06,轻度污染,143,320,28,84,19,6,0.54,石家庄
2025-06-07,轻度污染,137,312,30,84,14,6,0.55,石家庄
